TableID,TableDescription,NumColumns,TopicArea
B27001,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE,57.0,HealthInsurance
B27002,PRIVATE HEALTH INSURANCE STATUS BY SEX BY AGE,57.0,HealthInsurance
C27001A,HEALTH INSURANCE COVERAGE STATUS BY AGE (WHITE ALONE),10.0,HealthInsurance
C27001B,HEALTH INSURANCE COVERAGE STATUS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),10.0,HealthInsurance
C27001C,HEALTH INSURANCE COVERAGE STATUS BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),10.0,HealthInsurance
C27001D,HEALTH INSURANCE COVERAGE STATUS BY AGE (ASIAN ALONE),10.0,HealthInsurance
C27001E,HEALTH INSURANCE COVERAGE STATUS BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),10.0,HealthInsurance
C27001F,HEALTH INSURANCE COVERAGE STATUS BY AGE (SOME OTHER RACE ALONE),10.0,HealthInsurance
C27001G,HEALTH INSURANCE COVERAGE STATUS BY AGE (TWO OR MORE RACES),10.0,HealthInsurance
C27001H,"HEALTH INSURANCE COVERAGE STATUS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",10.0,HealthInsurance
C27001I,HEALTH INSURANCE COVERAGE STATUS BY AGE (HISPANIC OR LATINO),10.0,HealthInsurance
B27003,PUBLIC HEALTH INSURANCE STATUS BY SEX BY AGE,57.0,HealthInsurance
C27004,EMPLOYER-BASED HEALTH INSURANCE  BY SEX BY AGE,21.0,HealthInsurance
C27005,DIRECT-PURCHASE HEALTH INSURANCE BY SEX BY AGE,21.0,HealthInsurance
C27006,MEDICARE COVERAGE BY SEX BY AGE,21.0,HealthInsurance
C27007,MEDICAID/MEANS-TESTED PUBLIC COVERAGE BY SEX BY AGE,21.0,HealthInsurance
C27008,TRICARE/MILITARY HEALTH COVERAGE BY SEX BY AGE,21.0,HealthInsurance
C27009,VA HEALTH CARE BY SEX BY AGE,21.0,HealthInsurance
B27010,TYPES OF HEALTH INSURANCE COVERAGE BY AGE,66.0,HealthInsurance
B27011,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY EMPLOYMENT STATUS BY AGE,35.0,HealthInsurance
B27015,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),26.0,HealthInsurance
C27012,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY WORK EXPERIENCE BY AGE,46.0,HealthInsurance
C27013,PRIVATE HEALTH INSURANCE BY WORK EXPERIENCE BY AGE,22.0,HealthInsurance
C27014,PUBLIC HEALTH INSURANCE BY WORK EXPERIENCE BY AGE,22.0,HealthInsurance
B27019,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY AGE BY EDUCATIONAL ATTAINMENT,43.0,HealthInsurance
B27020,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY CITIZENSHIP STATUS,17.0,HealthInsurance
B27022,HEALTH INSURANCE COVERAGE STATUS BY SEX BY ENROLLMENT STATUS FOR YOUNG ADULTS AGED 19 TO 25,15.0,HealthInsurance
B27023,PRIVATE HEALTH INSURANCE BY SEX BY ENROLLMENT STATUS FOR YOUNG ADULTS AGED 19 TO 25,15.0,HealthInsurance
C27016,HEALTH INSURANCE COVERAGE STATUS BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE,41.0,HealthInsurance
C27017,PRIVATE HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE,41.0,HealthInsurance
C27018,PUBLIC HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE,41.0,HealthInsurance
